id,created_at,username,full_text,retweets,likes,lang,text_clean
1.85106E+18,Tue Oct 29 00:22:13 +0000 2024,PT_Transjakarta,"@kigzgrgey Hai kak. Mohon maaf terkait saldo kakak yang terpotong. Agar kami dapat lakukan pengecekan, mohon untuk dilengkapi data berikut seperti nama dan nomor telephone, nomor kartu, tanggal dan waktu transaksi, nomor gopay dan lokasi kejadian. Mohon dikirim via DM kak. Tks ^RJ",0,0,in,@kigzgrgey Hai kak. Mohon maaf terkait saldo kakak yang terpotong. Agar kami dapat lakukan pengecekan mohon untuk dilengkapi data berikut seperti nama dan nomor telephone nomor kartu tanggal dan waktu transaksi nomor gopay dan lokasi kejadian. Mohon dikirim via DM kak. Tks ^RJ
1.85106E+18,Tue Oct 29 00:20:04 +0000 2024,PT_Transjakarta,"@Imyourpeace6 Hai kak. Mohon maaf menunggu, mohon info lokasi menunggu? Laporan kami lakukan pengecekan. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ",0,0,in,@Imyourpeace6 Hai kak. Mohon maaf menunggu mohon info lokasi menunggu? Laporan kami lakukan pengecekan. Untuk mengetahui posisi bus dan fitur perencanaan perjalanan kakak dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya kak. Terima kasih ^RJ
1.85106E+18,Tue Oct 29 00:15:57 +0000 2024,PT_Transjakarta,"@kuaci_oyen Hai kak. Silakan naik koridor 9/9A turun di Halte Cawang Sentral, kemudian naik rute 7C arah Cibubur Junction turun di bus stop Buperta Cibubur.Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^DN",0,0,in,@kuaci_oyen Hai kak. Silakan naik koridor 9/9A turun di Halte Cawang Sentral kemudian naik rute 7C arah Cibubur Junction turun di bus stop Buperta Cibubur.Yuk unduh aplikasi versi terbarunya aplikasi TJ: Transjakarta ya kak. Terima kasih ^DN
1.85105E+18,Tue Oct 29 00:07:30 +0000 2024,syntheitic,"@Zeng_Hang212 @sopir_idiot wkwk minimal taat aturan mas, udh tau mobil muatan gede msh nekat lewat jalur Transjakarta? 🤣 kocak.",0,1,in,@Zeng_Hang212 @sopir_idiot wkwk minimal taat aturan mas udh tau mobil muatan gede msh nekat lewat jalur Transjakarta? 🤣 kocak.
1.85105E+18,Tue Oct 29 00:01:37 +0000 2024,PT_Transjakarta,@wiida89 Hai kak. Silakan dari Cawang Sentral naik koridor 9 turun Tanjung Duren. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta ya. Trims ^RZK,0,0,in,@wiida89 Hai kak. Silakan dari Cawang Sentral naik koridor 9 turun Tanjung Duren. Untuk informasi rute selengkapnya dapat diakses melalui aplikasi TJ: Transjakarta ya. Trims ^RZK
1.85105E+18,Mon Oct 28 23:56:10 +0000 2024,MsAnchovy,"@PT_Transjakarta min mau tanya dong, ini tu sistemnya gimana ya? Kadang mau tap out di mesin berbeda malah munculnya tap in lagi, kepotong lagi. Ini ga di tap out, nge reset+tap in tapi double jadinya. Yg bener mesti gimana kalo mau tap out?? https://t.co/gix02qWnIn",0,0,in,@PT_Transjakarta min mau tanya dong ini tu sistemnya gimana ya? Kadang mau tap out di mesin berbeda malah munculnya tap in lagi kepotong lagi. Ini ga di tap out nge reset+tap in tapi double jadinya. Yg bener mesti gimana kalo mau tap out?? https://t.co/gix02qWnIn
1.85105E+18,Mon Oct 28 23:53:57 +0000 2024,vendy81948917,@PT_Transjakarta Pinang ranti kemana ya udh nunggu 10 menit jem besi,0,0,in,@PT_Transjakarta Pinang ranti kemana ya udh nunggu 10 menit jem besi
1.85105E+18,Mon Oct 28 23:51:46 +0000 2024,pilimo__,"@PT_Transjakarta rute 8D arah blok m skrg harusnya berhenti di Kejaksaan Agung kan ya bkn Mbloc? Kok kmrn saya naik, malah bus tdk berhenti di kejaksaan agung dan tetap berhenti di mbloc. Tdk sesuai dengan info di socmed. Yg benar yg mana ya? Tlg dicek lg dengan drivernya. Thanks",0,0,in,@PT_Transjakarta rute 8D arah blok m skrg harusnya berhenti di Kejaksaan Agung kan ya bkn Mbloc? Kok kmrn saya naik malah bus tdk berhenti di kejaksaan agung dan tetap berhenti di mbloc. Tdk sesuai dengan info di socmed. Yg benar yg mana ya? Tlg dicek lg dengan drivernya. Thanks
1.85105E+18,Mon Oct 28 23:51:14 +0000 2024,PT_Transjakarta,@btsonyeontannn Hai kak. Mohon info untuk alamat lengkap tujuan. Trims ^RZK,0,0,in,@btsonyeontannn Hai kak. Mohon info untuk alamat lengkap tujuan. Trims ^RZK
1.85105E+18,Mon Oct 28 23:44:56 +0000 2024,mnvnty,@PT_Transjakarta jaklingko 95 lebak bulus -  pasar minggu klo sudah 2 hari ini sepertinya lama ya.. jarak waktu antar armadanya lebih dr 10 menit..,0,0,in,@PT_Transjakarta jaklingko 95 lebak bulus -  pasar minggu klo sudah 2 hari ini sepertinya lama ya.. jarak waktu antar armadanya lebih dr 10 menit..
1.85105E+18,Mon Oct 28 23:44:44 +0000 2024,caninepsh,"@PT_Transjakarta min ini jak 93 ke ratu prabu emg lg ga beroperasi apa gmn, 30 menit nungguin di st kebayoran ga lewat lewat pls sampe bosen yang lewat jak 11/12 trs. tolong lah transparansi dan jadwalnya yang sesuai. banyakin armadanya, banyak lansia yg nungguin lama disini",0,0,in,@PT_Transjakarta min ini jak 93 ke ratu prabu emg lg ga beroperasi apa gmn 30 menit nungguin di st kebayoran ga lewat lewat pls sampe bosen yang lewat jak 11/12 trs. tolong lah transparansi dan jadwalnya yang sesuai. banyakin armadanya banyak lansia yg nungguin lama disini
